,0,90,180,270,model_name,dataset_name,group_name,data_transformations,full_finetune,method
70,84.8125,72.6875,71.6875,106.3125,RN50,CIFAR100,rot90,rot90,False,equitune
71,153.875,75.125,80.5,57.28125,RN50,CIFAR100,rot90,rot90,False,equitune
72,60.03125,70.375,76.8125,80.3125,RN50,CIFAR100,rot90,rot90,False,equitune
73,132.5,71.9375,85.5625,75.5625,RN50,CIFAR100,rot90,rot90,False,equitune
74,63.625,67.1875,70.0,76.0,RN50,CIFAR100,rot90,rot90,False,equitune
75,581.0,83.5625,85.375,145.75,RN50,CIFAR100,rot90,rot90,False,equitune
76,108.4375,102.875,208.625,78.5,RN50,CIFAR100,rot90,rot90,False,equitune
77,118.0,78.9375,82.875,68.8125,RN50,CIFAR100,rot90,rot90,False,equitune
78,75.4375,72.75,83.3125,83.75,RN50,CIFAR100,rot90,rot90,False,equitune
79,131.25,151.5,142.375,227.75,RN50,CIFAR100,rot90,rot90,False,equitune
80,395.0,78.5625,386.5,72.5625,RN50,CIFAR100,rot90,rot90,False,equitune
81,85.0625,98.6875,90.3125,58.78125,RN50,CIFAR100,rot90,rot90,False,equitune
82,80.25,92.4375,68.0,75.75,RN50,CIFAR100,rot90,rot90,False,equitune
83,92.6875,91.375,77.9375,98.5625,RN50,CIFAR100,rot90,rot90,False,equitune
84,196.875,86.5625,100.8125,90.6875,RN50,CIFAR100,rot90,rot90,False,equitune
85,483.5,102.9375,82.875,56.34375,RN50,CIFAR100,rot90,rot90,False,equitune
86,102.75,140.625,115.0625,95.5,RN50,CIFAR100,rot90,rot90,False,equitune
87,75.375,71.1875,69.875,70.5625,RN50,CIFAR100,rot90,rot90,False,equitune
88,298.75,79.125,74.0625,89.875,RN50,CIFAR100,rot90,rot90,False,equitune
89,80.4375,65.9375,75.875,67.0625,RN50,CIFAR100,rot90,rot90,False,equitune
90,229.125,117.0625,202.875,146.375,RN50,CIFAR100,rot90,rot90,False,equitune
91,94.6875,77.25,78.75,94.3125,RN50,CIFAR100,rot90,rot90,False,equitune
92,61.84375,65.375,89.625,76.4375,RN50,CIFAR100,rot90,rot90,False,equitune
93,163.625,108.8125,104.875,80.6875,RN50,CIFAR100,rot90,rot90,False,equitune
94,605.0,82.375,86.625,100.1875,RN50,CIFAR100,rot90,rot90,False,equitune
95,222.0,75.9375,117.0625,68.5,RN50,CIFAR100,rot90,rot90,False,equitune
96,122.875,121.3125,91.0625,118.8125,RN50,CIFAR100,rot90,rot90,False,equitune
97,63.09375,73.625,86.375,81.6875,RN50,CIFAR100,rot90,rot90,False,equitune
98,906.0,83.125,82.1875,57.875,RN50,CIFAR100,rot90,rot90,False,equitune
99,155.625,75.625,64.0625,65.0,RN50,CIFAR100,rot90,rot90,False,equitune
100,76.3125,70.875,79.3125,67.9375,RN50,CIFAR100,rot90,rot90,False,equitune
101,82.125,78.0,79.1875,79.3125,RN50,CIFAR100,rot90,rot90,False,equitune
102,83.1875,74.0625,84.9375,86.25,RN50,CIFAR100,rot90,rot90,False,equitune
103,69.6875,87.25,84.25,67.5625,RN50,CIFAR100,rot90,rot90,False,equitune
104,197.875,65.5625,67.625,88.375,RN50,CIFAR100,rot90,rot90,False,equitune
105,86.0625,59.625,59.71875,69.9375,RN50,CIFAR100,rot90,rot90,False,equitune
106,87.375,85.3125,83.75,118.6875,RN50,CIFAR100,rot90,rot90,False,equitune
107,683.5,55.25,81.5625,78.1875,RN50,CIFAR100,rot90,rot90,False,equitune
108,109.875,75.5,84.9375,67.75,RN50,CIFAR100,rot90,rot90,False,equitune
109,442.25,85.8125,80.9375,78.0,RN50,CIFAR100,rot90,rot90,False,equitune
110,102.5,72.375,62.3125,62.8125,RN50,CIFAR100,rot90,rot90,False,equitune
111,317.25,129.25,104.0625,86.375,RN50,CIFAR100,rot90,rot90,False,equitune
112,86.75,76.625,82.1875,87.125,RN50,CIFAR100,rot90,rot90,False,equitune
113,85.8125,69.1875,86.0,86.5,RN50,CIFAR100,rot90,rot90,False,equitune
114,94.875,74.0,85.4375,60.1875,RN50,CIFAR100,rot90,rot90,False,equitune
115,339.25,71.625,66.6875,57.78125,RN50,CIFAR100,rot90,rot90,False,equitune
116,173.875,84.4375,100.3125,104.3125,RN50,CIFAR100,rot90,rot90,False,equitune
117,195.25,75.75,58.0625,81.0,RN50,CIFAR100,rot90,rot90,False,equitune
118,75.1875,100.9375,53.03125,74.5625,RN50,CIFAR100,rot90,rot90,False,equitune
119,108.4375,141.375,70.1875,78.0,RN50,CIFAR100,rot90,rot90,False,equitune
120,605.0,60.03125,81.625,88.4375,RN50,CIFAR100,rot90,rot90,False,equitune
121,82.0,70.5,113.0625,76.3125,RN50,CIFAR100,rot90,rot90,False,equitune
122,396.75,80.6875,69.375,79.1875,RN50,CIFAR100,rot90,rot90,False,equitune
123,146.625,77.0,79.9375,87.875,RN50,CIFAR100,rot90,rot90,False,equitune
124,257.25,75.75,108.125,73.0625,RN50,CIFAR100,rot90,rot90,False,equitune
125,93.375,140.125,122.1875,56.65625,RN50,CIFAR100,rot90,rot90,False,equitune
126,198.875,79.6875,83.6875,77.6875,RN50,CIFAR100,rot90,rot90,False,equitune
127,74.4375,134.625,71.75,79.375,RN50,CIFAR100,rot90,rot90,False,equitune
128,89.875,116.875,82.8125,114.0625,RN50,CIFAR100,rot90,rot90,False,equitune
129,207.625,81.75,100.1875,94.4375,RN50,CIFAR100,rot90,rot90,False,equitune
130,89.5,58.03125,83.9375,84.8125,RN50,CIFAR100,rot90,rot90,False,equitune
131,73.3125,70.125,80.375,69.0,RN50,CIFAR100,rot90,rot90,False,equitune
132,61.40625,66.4375,75.8125,78.8125,RN50,CIFAR100,rot90,rot90,False,equitune
133,75.75,85.0,67.75,86.0,RN50,CIFAR100,rot90,rot90,False,equitune
134,117.1875,103.625,116.4375,126.375,RN50,CIFAR100,rot90,rot90,False,equitune
135,59.90625,62.21875,67.8125,63.28125,RN50,CIFAR100,rot90,rot90,False,equitune
136,542.5,60.21875,72.4375,65.875,RN50,CIFAR100,rot90,rot90,False,equitune
137,97.1875,87.9375,83.375,61.53125,RN50,CIFAR100,rot90,rot90,False,equitune
138,183.375,62.625,83.8125,81.9375,RN50,CIFAR100,rot90,rot90,False,equitune
139,722.0,68.9375,117.625,74.4375,RN50,CIFAR100,rot90,rot90,False,equitune
140,72.1875,85.375,96.5625,85.125,RN50,CIFAR100,rot90,rot90,False,equitune
141,304.0,207.125,111.3125,120.1875,RN50,CIFAR100,rot90,rot90,False,equitune
142,985.0,67.25,78.6875,63.34375,RN50,CIFAR100,rot90,rot90,False,equitune
143,299.5,69.125,77.0625,75.9375,RN50,CIFAR100,rot90,rot90,False,equitune
144,63.625,83.4375,76.1875,75.75,RN50,CIFAR100,rot90,rot90,False,equitune
145,96.5,72.5625,65.3125,59.40625,RN50,CIFAR100,rot90,rot90,False,equitune
146,170.75,76.6875,97.125,60.15625,RN50,CIFAR100,rot90,rot90,False,equitune
147,138.25,101.875,93.9375,61.75,RN50,CIFAR100,rot90,rot90,False,equitune
148,147.25,98.5,104.9375,97.5,RN50,CIFAR100,rot90,rot90,False,equitune
149,726.5,77.5,68.6875,78.4375,RN50,CIFAR100,rot90,rot90,False,equitune
150,451.75,71.4375,78.5,72.1875,RN50,CIFAR100,rot90,rot90,False,equitune
151,105.5,109.6875,86.25,97.1875,RN50,CIFAR100,rot90,rot90,False,equitune
152,83.3125,78.125,65.125,72.9375,RN50,CIFAR100,rot90,rot90,False,equitune
153,127.375,89.5625,88.4375,74.0,RN50,CIFAR100,rot90,rot90,False,equitune
154,98.5625,79.75,72.0625,104.4375,RN50,CIFAR100,rot90,rot90,False,equitune
155,70.6875,87.0,87.0625,60.125,RN50,CIFAR100,rot90,rot90,False,equitune
156,266.5,79.625,62.46875,75.5625,RN50,CIFAR100,rot90,rot90,False,equitune
157,102.1875,98.4375,163.0,130.625,RN50,CIFAR100,rot90,rot90,False,equitune
158,70.0625,57.84375,72.875,76.75,RN50,CIFAR100,rot90,rot90,False,equitune
159,81.6875,67.6875,66.625,61.71875,RN50,CIFAR100,rot90,rot90,False,equitune
160,140.0,64.8125,100.25,85.0,RN50,CIFAR100,rot90,rot90,False,equitune
161,67.0,75.5,82.625,80.125,RN50,CIFAR100,rot90,rot90,False,equitune
162,81.3125,74.875,158.0,81.8125,RN50,CIFAR100,rot90,rot90,False,equitune
163,90.6875,67.0,117.5625,75.25,RN50,CIFAR100,rot90,rot90,False,equitune
164,82.5,89.0625,84.0,64.3125,RN50,CIFAR100,rot90,rot90,False,equitune
165,107.125,54.34375,77.75,87.9375,RN50,CIFAR100,rot90,rot90,False,equitune
166,99.75,73.125,103.375,84.75,RN50,CIFAR100,rot90,rot90,False,equitune
167,82.0625,77.5625,91.0,88.0625,RN50,CIFAR100,rot90,rot90,False,equitune
168,126.5,81.0625,109.1875,88.8125,RN50,CIFAR100,rot90,rot90,False,equitune
169,122.8125,140.625,105.0625,135.375,RN50,CIFAR100,rot90,rot90,False,equitune
170,91.875,85.9375,59.4375,75.0625,RN50,CIFAR100,rot90,rot90,False,equitune
171,154.5,73.75,64.25,64.625,RN50,CIFAR100,rot90,rot90,False,equitune
172,78.125,89.5625,86.5,76.375,RN50,CIFAR100,rot90,rot90,False,equitune
173,68.8125,62.3125,63.84375,66.875,RN50,CIFAR100,rot90,rot90,False,equitune
174,118.875,104.0625,104.6875,71.0625,RN50,CIFAR100,rot90,rot90,False,equitune
175,77.125,107.3125,90.75,87.0,RN50,CIFAR100,rot90,rot90,False,equitune
176,64.5,67.75,68.0,70.4375,RN50,CIFAR100,rot90,rot90,False,equitune
177,95.8125,80.9375,62.25,89.125,RN50,CIFAR100,rot90,rot90,False,equitune
178,79.5,80.5625,87.9375,79.375,RN50,CIFAR100,rot90,rot90,False,equitune
179,89.875,69.3125,69.375,89.0,RN50,CIFAR100,rot90,rot90,False,equitune
180,77.625,99.875,111.6875,68.625,RN50,CIFAR100,rot90,rot90,False,equitune
181,85.625,66.8125,78.4375,93.0,RN50,CIFAR100,rot90,rot90,False,equitune
182,76.25,147.125,199.25,144.0,RN50,CIFAR100,rot90,rot90,False,equitune
183,189.25,87.0625,67.4375,85.9375,RN50,CIFAR100,rot90,rot90,False,equitune
184,115.0,77.125,110.5625,81.3125,RN50,CIFAR100,rot90,rot90,False,equitune
185,74.9375,85.8125,77.9375,83.5625,RN50,CIFAR100,rot90,rot90,False,equitune
186,78.875,75.0,59.90625,73.75,RN50,CIFAR100,rot90,rot90,False,equitune
187,114.5,77.9375,79.75,70.125,RN50,CIFAR100,rot90,rot90,False,equitune
188,83.5625,93.625,59.65625,79.375,RN50,CIFAR100,rot90,rot90,False,equitune
189,90.625,73.5625,155.875,71.1875,RN50,CIFAR100,rot90,rot90,False,equitune
190,646.0,84.125,73.9375,61.71875,RN50,CIFAR100,rot90,rot90,False,equitune
191,70.125,64.625,70.875,69.375,RN50,CIFAR100,rot90,rot90,False,equitune
192,82.0,68.6875,86.25,70.6875,RN50,CIFAR100,rot90,rot90,False,equitune
193,396.5,77.4375,102.8125,66.5625,RN50,CIFAR100,rot90,rot90,False,equitune
194,117.75,67.8125,70.1875,85.75,RN50,CIFAR100,rot90,rot90,False,equitune
195,67.0625,69.9375,62.9375,79.25,RN50,CIFAR100,rot90,rot90,False,equitune
196,275.5,100.4375,101.5625,102.375,RN50,CIFAR100,rot90,rot90,False,equitune
197,66.25,74.5625,53.0,68.3125,RN50,CIFAR100,rot90,rot90,False,equitune
198,91.0625,84.625,115.0625,99.125,RN50,CIFAR100,rot90,rot90,False,equitune
199,87.9375,64.9375,96.8125,91.6875,RN50,CIFAR100,rot90,rot90,False,equitune
200,75.875,95.125,72.375,85.8125,RN50,CIFAR100,rot90,rot90,False,equitune
201,145.625,109.5625,120.75,87.9375,RN50,CIFAR100,rot90,rot90,False,equitune
202,337.75,117.4375,81.8125,56.375,RN50,CIFAR100,rot90,rot90,False,equitune
203,703.5,68.6875,74.125,90.0,RN50,CIFAR100,rot90,rot90,False,equitune
204,95.8125,96.75,87.875,86.9375,RN50,CIFAR100,rot90,rot90,False,equitune
205,60.375,62.78125,56.84375,68.125,RN50,CIFAR100,rot90,rot90,False,equitune
206,71.0,76.3125,63.46875,55.21875,RN50,CIFAR100,rot90,rot90,False,equitune
207,1009.0,82.1875,74.9375,82.9375,RN50,CIFAR100,rot90,rot90,False,equitune
208,114.6875,67.0,73.5,68.8125,RN50,CIFAR100,rot90,rot90,False,equitune
209,64.625,77.5,68.8125,94.75,RN50,CIFAR100,rot90,rot90,False,equitune
210,78.875,103.125,97.375,72.875,RN50,CIFAR100,rot90,rot90,False,equitune
211,566.5,110.4375,70.375,78.25,RN50,CIFAR100,rot90,rot90,False,equitune
212,99.125,71.375,71.4375,83.375,RN50,CIFAR100,rot90,rot90,False,equitune
213,341.75,113.3125,90.625,380.75,RN50,CIFAR100,rot90,rot90,False,equitune
214,170.25,86.25,80.25,82.25,RN50,CIFAR100,rot90,rot90,False,equitune
215,138.0,66.5,97.5625,90.0625,RN50,CIFAR100,rot90,rot90,False,equitune
216,108.0,80.75,98.6875,107.1875,RN50,CIFAR100,rot90,rot90,False,equitune
217,74.875,67.0,66.125,55.75,RN50,CIFAR100,rot90,rot90,False,equitune
218,128.875,97.4375,91.375,122.9375,RN50,CIFAR100,rot90,rot90,False,equitune
