,0,90,180,270,model_name,dataset_name,group_name,data_transformations,full_finetune,method
0,562.0,71.4375,74.625,132.875,RN101,CIFAR100,rot90,rot90,False,equitune
1,287.5,71.25,92.375,67.5,RN101,CIFAR100,rot90,rot90,False,equitune
2,102.25,69.4375,81.3125,66.75,RN101,CIFAR100,rot90,rot90,False,equitune
3,71.4375,65.5625,118.25,71.625,RN101,CIFAR100,rot90,rot90,False,equitune
4,911.5,94.0,576.5,108.125,RN101,CIFAR100,rot90,rot90,False,equitune
5,57.9375,106.75,84.375,59.34375,RN101,CIFAR100,rot90,rot90,False,equitune
6,807.5,71.875,149.5,80.9375,RN101,CIFAR100,rot90,rot90,False,equitune
7,66.1875,62.65625,64.6875,68.6875,RN101,CIFAR100,rot90,rot90,False,equitune
8,657.5,85.4375,180.875,66.3125,RN101,CIFAR100,rot90,rot90,False,equitune
9,132.0,52.0,66.5625,80.875,RN101,CIFAR100,rot90,rot90,False,equitune
10,537.0,63.0,56.84375,124.625,RN101,CIFAR100,rot90,rot90,False,equitune
11,73.5,65.9375,53.78125,59.34375,RN101,CIFAR100,rot90,rot90,False,equitune
12,588.0,68.0,115.75,143.375,RN101,CIFAR100,rot90,rot90,False,equitune
13,276.75,68.875,248.5,83.625,RN101,CIFAR100,rot90,rot90,False,equitune
14,90.5625,81.0,65.3125,73.5625,RN101,CIFAR100,rot90,rot90,False,equitune
15,432.25,71.0625,78.4375,77.5,RN101,CIFAR100,rot90,rot90,False,equitune
16,86.8125,61.9375,64.3125,75.4375,RN101,CIFAR100,rot90,rot90,False,equitune
17,93.0,78.125,89.8125,64.0625,RN101,CIFAR100,rot90,rot90,False,equitune
18,82.0625,128.875,98.375,107.4375,RN101,CIFAR100,rot90,rot90,False,equitune
19,72.75,63.5,90.5,65.0,RN101,CIFAR100,rot90,rot90,False,equitune
20,63.53125,79.875,64.4375,70.8125,RN101,CIFAR100,rot90,rot90,False,equitune
21,424.75,78.625,127.25,71.1875,RN101,CIFAR100,rot90,rot90,False,equitune
22,71.0625,76.8125,60.0625,59.21875,RN101,CIFAR100,rot90,rot90,False,equitune
23,241.25,77.0,171.25,81.25,RN101,CIFAR100,rot90,rot90,False,equitune
24,178.375,70.5625,54.3125,70.0,RN101,CIFAR100,rot90,rot90,False,equitune
25,155.0,93.9375,106.9375,112.5625,RN101,CIFAR100,rot90,rot90,False,equitune
26,120.875,62.03125,59.40625,55.25,RN101,CIFAR100,rot90,rot90,False,equitune
27,664.0,69.75,238.5,111.125,RN101,CIFAR100,rot90,rot90,False,equitune
28,417.0,93.6875,75.8125,64.375,RN101,CIFAR100,rot90,rot90,False,equitune
29,68.5,60.875,70.1875,52.75,RN101,CIFAR100,rot90,rot90,False,equitune
30,257.75,217.0,115.875,84.5,RN101,CIFAR100,rot90,rot90,False,equitune
31,81.0,110.625,60.875,62.1875,RN101,CIFAR100,rot90,rot90,False,equitune
32,81.125,61.96875,67.6875,48.90625,RN101,CIFAR100,rot90,rot90,False,equitune
33,73.1875,77.8125,70.375,57.78125,RN101,CIFAR100,rot90,rot90,False,equitune
34,379.25,66.1875,181.625,72.625,RN101,CIFAR100,rot90,rot90,False,equitune
35,99.9375,62.34375,72.5625,80.3125,RN101,CIFAR100,rot90,rot90,False,equitune
36,347.0,105.625,72.3125,69.8125,RN101,CIFAR100,rot90,rot90,False,equitune
37,293.25,114.625,79.6875,229.0,RN101,CIFAR100,rot90,rot90,False,equitune
38,98.5,62.09375,62.4375,74.9375,RN101,CIFAR100,rot90,rot90,False,equitune
39,1263.0,58.90625,548.0,76.125,RN101,CIFAR100,rot90,rot90,False,equitune
40,312.25,89.6875,85.625,76.75,RN101,CIFAR100,rot90,rot90,False,equitune
41,64.4375,85.375,56.78125,84.25,RN101,CIFAR100,rot90,rot90,False,equitune
42,180.75,72.75,101.1875,65.9375,RN101,CIFAR100,rot90,rot90,False,equitune
43,92.75,77.875,112.125,82.0625,RN101,CIFAR100,rot90,rot90,False,equitune
44,383.5,105.125,123.375,100.9375,RN101,CIFAR100,rot90,rot90,False,equitune
45,323.75,117.5,68.5,196.125,RN101,CIFAR100,rot90,rot90,False,equitune
46,141.0,66.6875,111.875,130.0,RN101,CIFAR100,rot90,rot90,False,equitune
47,475.0,66.8125,78.125,63.5625,RN101,CIFAR100,rot90,rot90,False,equitune
48,70.0625,71.0625,56.9375,72.625,RN101,CIFAR100,rot90,rot90,False,equitune
49,298.25,67.625,75.5625,65.5625,RN101,CIFAR100,rot90,rot90,False,equitune
50,58.375,46.75,87.3125,77.375,RN101,CIFAR100,rot90,rot90,False,equitune
51,81.25,78.0625,63.875,76.25,RN101,CIFAR100,rot90,rot90,False,equitune
52,64.75,61.09375,66.8125,64.875,RN101,CIFAR100,rot90,rot90,False,equitune
53,74.5625,81.3125,59.90625,84.8125,RN101,CIFAR100,rot90,rot90,False,equitune
54,159.375,90.875,91.3125,198.125,RN101,CIFAR100,rot90,rot90,False,equitune
55,139.875,63.21875,67.0625,107.875,RN101,CIFAR100,rot90,rot90,False,equitune
56,1195.0,60.8125,63.34375,65.6875,RN101,CIFAR100,rot90,rot90,False,equitune
57,496.0,81.6875,64.8125,64.25,RN101,CIFAR100,rot90,rot90,False,equitune
58,122.625,60.78125,72.9375,61.78125,RN101,CIFAR100,rot90,rot90,False,equitune
59,84.375,89.5,81.75,74.5625,RN101,CIFAR100,rot90,rot90,False,equitune
60,67.6875,59.21875,65.875,82.6875,RN101,CIFAR100,rot90,rot90,False,equitune
61,78.375,42.1875,79.875,81.3125,RN101,CIFAR100,rot90,rot90,False,equitune
62,244.75,95.0625,132.25,87.9375,RN101,CIFAR100,rot90,rot90,False,equitune
63,117.5625,56.90625,81.3125,83.9375,RN101,CIFAR100,rot90,rot90,False,equitune
64,63.96875,60.40625,69.375,60.59375,RN101,CIFAR100,rot90,rot90,False,equitune
65,98.9375,86.1875,78.25,64.5625,RN101,CIFAR100,rot90,rot90,False,equitune
